Imb,Priv,Unpriv,Deid,Orig_Acc,Tran_Acc,Orig_Bal,Tran_Bal,Orig_SP,Tran_SP,Orig_DI,Tran_DI,Orig_PP,Tran_PP,Or_Priv_PP,Tr_Priv_PP,Or_Unpr_PP,Tr_Unpr_PP,Orig_FN,Tran_FN,Or_Priv_FN,Tr_Priv_FN,Or_Unpr_FN,Tr_Unpr_FN
100,20,10,og,0.66433,0.66417,0.69886,0.69645,-0.10794,0.19991,0.47289,1.01387,0.43933,0.437,0.44193,0.43721,0.18836,0.41735,0.24293,0.24911,0.24206,0.24991,0.35,0.05
100,20,10,deid4,0.71525,0.71533,0.7001,0.70043,-0.57716,-0.22632,0.17119,0.54342,0.35442,0.35467,0.35732,0.35615,0.06332,0.211,0.32578,0.325,0.32284,0.32368,0.9,0.55
100,20,10,deid8,0.714,0.715,0.70175,0.70072,-0.33231,-0.32797,0.67079,0.75572,0.35817,0.3555,0.3595,0.35646,0.22383,0.2546,0.31946,0.32378,0.31769,0.32203,0.65,0.65
100,20,10,deid16,0.65992,0.66033,0.69465,0.69476,-0.35504,-0.20379,0.58924,0.81025,0.44225,0.44167,0.44392,0.44257,0.26251,0.35473,0.24673,0.24716,0.24496,0.24621,0.6,0.45
100,20,5,og,0.65983,0.65992,0.69726,0.69579,-0.66225,0.24561,0.03148,0.7514,0.44433,0.44258,0.44876,0.44354,0.01765,0.33417,0.2405,0.24459,0.23775,0.24561,0.9,0
100,20,5,deid4,0.71592,0.71383,0.70245,0.70141,-0.68236,0.02001,0,0.77864,0.35592,0.35817,0.3595,0.35891,0,0.28692,0.32047,0.3199,0.31764,0.32001,1,0.3
100,20,5,deid8,0.71533,0.714,0.70229,0.70171,-0.68264,0.22054,0,1.15473,0.3565,0.358,0.36017,0.35721,0,0.42728,0.3202,0.31963,0.31736,0.32054,1,0.1
100,20,5,deid16,0.67108,0.66817,0.69695,0.69437,-0.74358,-0.13921,0,1.01038,0.42575,0.428,0.43016,0.4278,0,0.4385,0.25951,0.26141,0.25642,0.26079,1,0.4
100,10,5,og,0.674,0.67292,0.69658,0.69631,-0.12572,0.1762,0.3474,0.84675,0.36975,0.371,0.37207,0.37148,0.14523,0.31821,0.2754,0.27465,0.27428,0.2762,0.4,0.1
100,10,5,deid4,0.70533,0.70575,0.70029,0.70055,-0.49856,0.00587,0.17236,0.8748,0.33275,0.33233,0.33546,0.33267,0.06729,0.31192,0.30581,0.30571,0.30144,0.30587,0.8,0.3
100,10,5,deid8,0.65383,0.65492,0.6954,0.69813,-0.65411,0.04683,0.17113,1.04698,0.39592,0.39583,0.39876,0.39531,0.09902,0.43455,0.25143,0.2466,0.24589,0.24683,0.9,0.2
100,10,5,deid16,0.70817,0.70542,0.69487,0.69516,-0.6846,-0.1846,0.07125,1.16226,0.32708,0.33067,0.33001,0.33001,0.03529,0.4004,0.32126,0.31717,0.3154,0.3154,1,0.5
50,50,40,og,0.70892,0.71025,0.71016,0.71148,-0.16379,0.0575,0.70823,0.99224,0.54375,0.54725,0.54736,0.54728,0.38977,0.54699,0.24719,0.24237,0.24382,0.24382,0.40761,0.18632
50,50,40,deid4,0.69642,0.69675,0.69725,0.69756,-0.17998,-0.05094,0.69454,0.91531,0.50992,0.51208,0.51347,0.51321,0.35528,0.46485,0.29391,0.29145,0.29026,0.2906,0.47024,0.34154
50,50,40,deid8,0.69525,0.69467,0.69645,0.69583,-0.28993,-0.12777,0.59349,0.92582,0.50375,0.50417,0.50837,0.50478,0.30442,0.47788,0.30084,0.30104,0.29486,0.29816,0.58479,0.42593
50,50,40,deid16,0.68642,0.68575,0.68788,0.68712,-0.17511,-0.10751,0.64036,0.75699,0.48008,0.47392,0.48399,0.47648,0.30906,0.36739,0.33309,0.34002,0.32954,0.33785,0.50465,0.44536
50,50,20,og,0.711,0.711,0.71295,0.71228,-0.42048,0.1286,0.19544,0.77535,0.54283,0.52533,0.5529,0.52821,0.11037,0.40747,0.2431,0.26128,0.23857,0.26253,0.65905,0.13393
50,50,20,deid4,0.6995,0.6965,0.70044,0.69749,-0.3838,0.10544,0.22067,0.90954,0.499,0.50567,0.50803,0.50693,0.10932,0.45745,0.2995,0.29578,0.29549,0.29699,0.67929,0.19155
50,50,20,deid8,0.69942,0.69467,0.70054,0.69572,-0.51086,-0.0079,0.20595,0.93985,0.49875,0.4975,0.50801,0.4981,0.10212,0.46855,0.29963,0.30576,0.29438,0.30567,0.80524,0.31357
50,50,20,deid16,0.68725,0.68608,0.68854,0.68714,-0.56152,-0.19259,0.16506,0.65622,0.47658,0.46658,0.48561,0.47,0.0814,0.32116,0.33393,0.34533,0.32801,0.34349,0.88952,0.53607
50,50,10,og,0.71225,0.70775,0.714,0.709,-0.7301,0.08249,0.00482,0.80852,0.52958,0.51725,0.54196,0.51985,0.00294,0.41123,0.25438,0.27179,0.2499,0.27249,0.98,0.19
50,50,10,deid4,0.7005,0.69483,0.70151,0.69593,-0.51528,-0.0309,0.07769,0.80178,0.5005,0.5065,0.51109,0.5087,0.03949,0.41043,0.29605,0.29572,0.29305,0.29577,0.80833,0.32667
50,50,10,deid8,0.70125,0.69575,0.70248,0.69677,-0.69518,0.04004,0,0.82124,0.48642,0.48492,0.49778,0.48712,0,0.39626,0.3091,0.31638,0.30482,0.31671,1,0.27667
50,50,10,deid16,0.68933,0.68642,0.69015,0.68716,-0.66551,-0.29947,0,0.58645,0.4695,0.46392,0.48038,0.46846,0,0.28093,0.33858,0.3472,0.33449,0.34553,1,0.645
50,50,5,og,0.71458,0.71042,0.71664,0.71198,-0.76253,0.118,0,0.52299,0.54083,0.51783,0.55355,0.52346,0,0.27632,0.2398,0.26752,0.23747,0.268,1,0.15
50,50,5,deid4,0.70183,0.69742,0.7028,0.69817,-0.70995,-0.04555,0,0.5063,0.50242,0.495,0.51407,0.50038,0,0.25753,0.2922,0.30435,0.29005,0.30445,1,0.35
50,50,5,deid8,0.70117,0.69583,0.70258,0.69686,-0.70293,0.11348,0,0.74407,0.49558,0.48758,0.50717,0.49047,0,0.36379,0.29921,0.31301,0.29707,0.31348,1,0.2
50,50,5,deid16,0.69042,0.68575,0.69208,0.68635,-0.68959,-0.43712,0,0.75228,0.493,0.46417,0.50448,0.46641,0,0.36288,0.31251,0.34721,0.31041,0.34622,1,0.78333
50,40,20,og,0.709,0.70892,0.71119,0.71109,-0.27991,0.14841,0.33103,0.87209,0.46725,0.467,0.47432,0.46843,0.16203,0.41013,0.28002,0.2804,0.27628,0.28234,0.55619,0.13393
50,40,20,deid4,0.71375,0.71333,0.71266,0.71051,-0.49325,-0.00189,0.1969,0.87323,0.452,0.44125,0.46034,0.4426,0.08983,0.38991,0.29334,0.30662,0.28699,0.30656,0.78024,0.30845
50,40,20,deid8,0.70075,0.70308,0.69736,0.69815,-0.29737,0.06963,0.47789,0.91645,0.44283,0.436,0.44826,0.43706,0.20954,0.39307,0.321,0.32683,0.31728,0.32785,0.61464,0.25821
50,40,20,deid16,0.66017,0.6605,0.68077,0.6815,-0.55741,-0.00868,0.31388,0.85583,0.56358,0.56575,0.57259,0.56773,0.18225,0.48668,0.22011,0.21704,0.21295,0.21704,0.77036,0.22571
50,40,10,og,0.70917,0.70583,0.7149,0.71115,-0.5997,0.08769,0.05117,0.91405,0.48725,0.48608,0.49785,0.48701,0.02667,0.45288,0.25463,0.26028,0.2503,0.26103,0.85,0.17333
50,40,10,deid4,0.71742,0.71333,0.71626,0.70941,-0.39229,-0.15507,0.15209,0.81108,0.44967,0.43425,0.45845,0.43622,0.06751,0.35253,0.29043,0.31407,0.28771,0.31326,0.68,0.46833
50,40,10,deid8,0.70117,0.70275,0.69913,0.6992,-0.58711,0.05781,0.14688,0.92533,0.45008,0.44333,0.45895,0.44429,0.06689,0.40953,0.31068,0.31738,0.30622,0.31781,0.89333,0.26
50,40,10,deid16,0.66692,0.66,0.68353,0.67548,-0.76357,-0.18288,0.02474,1.05191,0.53717,0.53425,0.54921,0.53349,0.01613,0.57587,0.24234,0.25497,0.23643,0.25378,1,0.43667
50,40,5,og,0.71,0.70758,0.71596,0.71191,-0.7497,0.11566,0.01743,0.68394,0.48683,0.47975,0.49785,0.48315,0.00968,0.33485,0.25311,0.26505,0.2503,0.26566,1,0.15
50,40,5,deid4,0.71658,0.71775,0.7164,0.71298,-0.71765,-0.13902,0,0.64507,0.45425,0.43242,0.46479,0.43627,0,0.26711,0.28505,0.31101,0.28235,0.31098,1,0.45
50,40,5,deid8,0.705,0.70392,0.70418,0.70166,-0.70209,-0.1909,0.01193,0.72585,0.4535,0.44775,0.46382,0.45061,0.00645,0.32107,0.30055,0.30936,0.29791,0.3091,1,0.5
50,40,5,deid16,0.66692,0.661,0.68384,0.67756,-0.76097,-0.38524,0,0.78153,0.53658,0.53683,0.54901,0.53937,0,0.43633,0.24199,0.24934,0.23903,0.2481,1,0.63333
50,20,10,og,0.67467,0.68058,0.69888,0.70058,-0.18863,0.01884,0.51722,1.06292,0.42133,0.41292,0.42606,0.41262,0.22311,0.43397,0.26087,0.26657,0.25804,0.26717,0.44667,0.24833
50,20,10,deid4,0.6705,0.66508,0.69745,0.694,-0.28409,-0.10276,0.28265,1.00364,0.42617,0.43158,0.43327,0.43147,0.12165,0.44938,0.25844,0.25854,0.25424,0.25724,0.53833,0.36
50,20,10,deid8,0.71483,0.71208,0.70032,0.70016,-0.52738,-0.16237,0.24283,0.81962,0.356,0.36042,0.36228,0.36227,0.08901,0.29051,0.32395,0.31978,0.31595,0.31763,0.84333,0.48
50,20,10,deid16,0.65,0.64908,0.6862,0.68655,-0.52534,-0.18239,0.43585,1.08209,0.44983,0.45175,0.45581,0.45071,0.19519,0.50384,0.25272,0.25024,0.24466,0.24761,0.77,0.43
50,20,5,og,0.67383,0.67425,0.70099,0.70002,-0.53274,0.15871,0.10676,0.84266,0.42408,0.4225,0.43272,0.42428,0.04989,0.34874,0.25411,0.25723,0.25059,0.25871,0.78333,0.1
50,20,5,deid4,0.68275,0.67875,0.6985,0.69618,-0.62799,0.07666,0.0577,0.95084,0.406,0.41017,0.41499,0.4103,0.02101,0.40274,0.27629,0.27585,0.27201,0.27666,0.9,0.2
50,20,5,deid8,0.71258,0.71208,0.70441,0.70377,-0.59483,-0.19077,0.11616,0.5977,0.36367,0.364,0.37112,0.36727,0.043,0.21998,0.30913,0.30979,0.30517,0.30923,0.9,0.5
50,20,5,deid16,0.65492,0.65142,0.69076,0.68816,-0.6891,-0.40186,0.09801,0.77663,0.4455,0.44867,0.45451,0.4505,0.05157,0.36934,0.24918,0.25016,0.24423,0.24814,0.93333,0.65
50,10,5,og,0.68075,0.679,0.70312,0.70306,0.00238,0.13645,0.48107,1.00015,0.36425,0.36633,0.36863,0.36658,0.17051,0.35311,0.26896,0.26697,0.26905,0.26979,0.26667,0.13333
50,10,5,deid4,0.67492,0.67533,0.70519,0.70139,-0.24475,0.0171,0.36087,1.14853,0.37242,0.37033,0.37765,0.36896,0.14023,0.42953,0.2572,0.26617,0.25525,0.2671,0.5,0.25
50,10,5,deid8,0.69075,0.6925,0.69965,0.70196,-0.58491,-0.11401,0.25851,1.03376,0.35025,0.349,0.35619,0.34883,0.09429,0.35585,0.2894,0.28647,0.28175,0.28599,0.86667,0.4
50,10,5,deid16,0.65175,0.65058,0.69799,0.69777,-0.57915,-0.51163,0.37701,0.84976,0.39742,0.39875,0.40306,0.39957,0.15146,0.35624,0.24527,0.24434,0.23752,0.23837,0.81667,0.75
20,50,40,og,0.71,0.70708,0.71183,0.70884,-0.15376,-0.018,0.6516,0.92643,0.54925,0.542,0.55896,0.54388,0.36566,0.50611,0.23744,0.24776,0.23167,0.24729,0.38542,0.26529
20,50,40,deid4,0.70492,0.70275,0.70545,0.70355,-0.18954,-0.0567,0.6442,0.92812,0.52267,0.51033,0.53198,0.51214,0.34003,0.47213,0.27076,0.285,0.26381,0.28313,0.45336,0.33983
20,50,40,deid8,0.69758,0.69575,0.69717,0.69552,-0.08743,-0.01025,0.72484,0.91575,0.515,0.5145,0.52217,0.51692,0.37488,0.46477,0.2867,0.28883,0.28349,0.28864,0.37092,0.2989
20,50,40,deid16,0.68508,0.68467,0.68569,0.68495,-0.22057,-0.04762,0.66805,0.97902,0.48267,0.46708,0.49067,0.46776,0.32823,0.45228,0.33048,0.34677,0.32229,0.34551,0.54287,0.39313
20,50,20,og,0.713,0.70908,0.71564,0.71127,-0.44457,-0.05282,0.20581,0.71386,0.55408,0.54167,0.57691,0.54936,0.12341,0.39753,0.22476,0.2416,0.21573,0.24114,0.6603,0.29396
20,50,20,deid4,0.70883,0.70125,0.7098,0.70149,-0.50483,-0.04196,0.17369,0.81925,0.49692,0.48483,0.5185,0.4895,0.08996,0.39464,0.28817,0.30878,0.27808,0.30837,0.78291,0.35033
20,50,20,deid8,0.70458,0.69592,0.70621,0.69724,-0.3938,-0.10818,0.20082,0.80682,0.5275,0.525,0.54981,0.53045,0.10943,0.42173,0.26109,0.27269,0.25324,0.27104,0.64703,0.37922
20,50,20,deid16,0.698,0.69133,0.69642,0.68975,-0.27843,-0.01584,0.30042,0.77014,0.44875,0.44175,0.46507,0.44696,0.13865,0.3446,0.35,0.36376,0.34453,0.36366,0.62297,0.37949
20,50,10,og,0.7185,0.71125,0.72147,0.71312,-0.72781,-0.01609,0.01784,0.61454,0.541,0.52575,0.56931,0.53632,0.01101,0.33087,0.22967,0.25357,0.22219,0.25367,0.95,0.26976
20,50,10,deid4,0.715,0.69775,0.71533,0.69747,-0.72683,0.05877,0.01247,0.89518,0.51117,0.50242,0.5379,0.50538,0.00659,0.4493,0.26599,0.2933,0.25888,0.29377,0.98571,0.235
20,50,10,deid8,0.70725,0.69408,0.70806,0.69436,-0.53633,-0.01199,0.06754,0.78366,0.51208,0.48875,0.53722,0.4943,0.03677,0.38451,0.27267,0.31013,0.26724,0.30991,0.80357,0.3219
20,50,10,deid16,0.70133,0.69167,0.69898,0.68877,-0.6489,-0.00582,0,0.86418,0.43667,0.41833,0.45979,0.42128,0,0.36359,0.35755,0.38639,0.3511,0.38632,1,0.39214
20,50,5,og,0.72183,0.70717,0.72515,0.7099,-0.77619,-0.06554,0,0.66439,0.53833,0.53533,0.56714,0.54425,0,0.36578,0.22737,0.24629,0.22381,0.24613,1,0.31167
20,50,5,deid4,0.717,0.69925,0.71872,0.69974,-0.73912,-0.00893,0,0.82957,0.50833,0.48975,0.5353,0.49411,0,0.40523,0.26427,0.30267,0.26088,0.30274,1,0.31167
20,50,5,deid8,0.71017,0.69458,0.71288,0.69593,-0.76643,-0.08338,0,0.76425,0.5415,0.50592,0.57036,0.51205,0,0.39028,0.23712,0.29029,0.23357,0.28995,1,0.37333
20,50,5,deid16,0.704,0.69017,0.70299,0.68841,-0.69106,-0.0676,0,0.77583,0.47683,0.44817,0.50213,0.4532,0,0.35632,0.31211,0.35594,0.30894,0.35573,1,0.42333
20,40,20,og,0.69408,0.691,0.70679,0.70244,-0.30717,-0.02084,0.3354,0.81001,0.517,0.51308,0.53492,0.51804,0.17792,0.42167,0.23224,0.24141,0.2244,0.24141,0.53157,0.26225
20,40,20,deid4,0.71458,0.711,0.71114,0.70708,-0.47386,-0.07609,0.21695,0.90054,0.43867,0.43775,0.45671,0.44005,0.09846,0.39228,0.30534,0.31119,0.29357,0.30978,0.76743,0.38587
20,40,20,deid8,0.6885,0.688,0.69317,0.68633,-0.26374,-0.02628,0.29985,0.95527,0.48042,0.45225,0.49791,0.45334,0.14929,0.42888,0.28534,0.32166,0.27876,0.32135,0.5425,0.34763
20,40,20,deid16,0.665,0.66067,0.68183,0.67472,-0.33704,-0.02588,0.35581,0.76468,0.53942,0.52808,0.55749,0.53459,0.19384,0.40041,0.23991,0.25993,0.23198,0.25989,0.56902,0.28578
20,40,10,og,0.70225,0.69617,0.71184,0.70419,-0.59365,-0.00644,0.08783,0.7124,0.49875,0.49433,0.52261,0.50164,0.04631,0.36133,0.24228,0.25601,0.23492,0.25618,0.82857,0.26262
20,40,10,deid4,0.71417,0.7105,0.71323,0.70597,-0.54745,0.01912,0.11082,0.83518,0.449,0.435,0.46994,0.43871,0.05083,0.36556,0.29033,0.31326,0.2835,0.31364,0.83095,0.29452
20,40,10,deid8,0.68783,0.68292,0.69417,0.68495,-0.51257,0.00668,0.07606,0.85172,0.48167,0.46575,0.50528,0.46924,0.03761,0.39966,0.28102,0.30814,0.27434,0.30835,0.7869,0.30167
20,40,10,deid16,0.66908,0.66358,0.68647,0.67319,-0.58983,-0.04163,0.06769,0.83761,0.53642,0.50725,0.56273,0.5113,0.03857,0.42775,0.23546,0.28088,0.22802,0.28027,0.81786,0.3219
20,40,5,og,0.70367,0.69217,0.71624,0.70341,-0.77662,-0.07998,0.00286,0.67758,0.50667,0.505,0.53345,0.51292,0.00156,0.3524,0.22785,0.24531,0.22338,0.24502,1,0.325
20,40,5,deid4,0.71883,0.71083,0.71669,0.70646,-0.71098,0.06368,0,0.86911,0.441,0.435,0.46438,0.4378,0,0.38051,0.2931,0.31166,0.28902,0.31202,1,0.24833
20,40,5,deid8,0.68108,0.67392,0.69945,0.68422,-0.77909,-0.0781,0,0.91314,0.52992,0.49842,0.55804,0.50133,0,0.44318,0.22535,0.27548,0.22091,0.27523,1,0.35333
20,40,5,deid16,0.66892,0.65992,0.68909,0.67258,-0.78149,-0.10569,0,0.95708,0.54475,0.51825,0.57355,0.51967,0,0.48847,0.22298,0.26965,0.21851,0.26931,1,0.375
20,20,10,og,0.685,0.68717,0.70994,0.70832,-0.22147,0.03834,0.41472,0.94304,0.41408,0.40875,0.42675,0.40971,0.17587,0.39364,0.24847,0.25633,0.24329,0.2581,0.46476,0.21976
20,20,10,deid4,0.69617,0.694,0.70116,0.69915,-0.29985,-0.00078,0.43008,0.94979,0.38508,0.38642,0.39666,0.38766,0.16234,0.36351,0.29167,0.29354,0.28396,0.29375,0.58381,0.29452
20,20,10,deid8,0.67558,0.68517,0.69983,0.70017,-0.31785,-0.02643,0.41113,0.9167,0.4185,0.40308,0.43113,0.40501,0.1783,0.36488,0.26046,0.27531,0.25239,0.27524,0.57024,0.30167
20,20,10,deid16,0.648,0.65125,0.68707,0.68232,-0.31501,-0.08938,0.41535,0.84371,0.45175,0.44133,0.46509,0.44519,0.19906,0.36706,0.24775,0.26578,0.24023,0.26348,0.55524,0.35286
20,20,5,og,0.67892,0.69058,0.71145,0.70815,-0.47219,-0.02862,0.14803,0.86908,0.42417,0.4015,0.44294,0.40376,0.06981,0.35312,0.23494,0.26288,0.22948,0.26305,0.70167,0.29167
20,20,5,deid4,0.68942,0.68067,0.70825,0.69882,-0.52449,0.03139,0.08859,1.0601,0.40267,0.40692,0.4217,0.40608,0.03778,0.42037,0.26165,0.27261,0.25551,0.27305,0.78,0.24167
20,20,5,deid8,0.68558,0.68142,0.70292,0.69394,-0.58775,-0.04733,0.0508,1.19292,0.40317,0.401,0.42324,0.39782,0.02219,0.46342,0.26981,0.2864,0.26225,0.28601,0.85,0.33333
20,20,5,deid16,0.64167,0.6305,0.69133,0.68145,-0.78188,-0.05669,0.01228,1.07428,0.46442,0.47225,0.48864,0.4709,0.00625,0.49672,0.22727,0.23527,0.21812,0.23498,1,0.29167
20,10,5,og,0.69833,0.6945,0.70388,0.70162,-0.20964,-0.03575,0.43376,0.99042,0.34242,0.34625,0.35222,0.34641,0.1551,0.34025,0.28896,0.28926,0.2837,0.28925,0.49333,0.325
20,10,5,deid4,0.69167,0.69108,0.70604,0.70279,-0.2594,-0.01519,0.55453,1.24436,0.35092,0.35033,0.35843,0.34673,0.20635,0.41631,0.2767,0.28316,0.2706,0.28314,0.53,0.29833
20,10,5,deid8,0.72733,0.71908,0.70831,0.70211,-0.20897,-0.01576,0.34024,1.49596,0.30958,0.31717,0.3198,0.30969,0.11782,0.45792,0.31404,0.31763,0.3077,0.31757,0.51667,0.33333
20,10,5,deid16,0.72242,0.71275,0.6948,0.69339,-0.38714,0.04113,0.54991,1.48991,0.3085,0.31983,0.31506,0.31261,0.18501,0.45786,0.3395,0.33069,0.32953,0.33113,0.71667,0.29
10,50,40,og,0.71075,0.70867,0.71188,0.70965,-0.14856,-3.00E-05,0.65071,0.89706,0.5385,0.53708,0.55715,0.54265,0.36412,0.48691,0.24711,0.25083,0.23561,0.25055,0.38417,0.25058
10,50,40,deid4,0.70275,0.69942,0.70268,0.6994,-0.10475,0.00352,0.77533,0.99396,0.51233,0.51233,0.52366,0.51281,0.40551,0.50955,0.28256,0.28591,0.27461,0.28601,0.37936,0.28249
10,50,40,deid8,0.69092,0.6905,0.69139,0.69083,-0.11333,0.02901,0.78048,0.98243,0.51983,0.51792,0.53092,0.5192,0.41364,0.50734,0.28659,0.28909,0.27782,0.29062,0.39115,0.26161
10,50,40,deid16,0.68817,0.68333,0.68806,0.68297,-0.11848,-0.01296,0.73868,1.02145,0.45108,0.43125,0.46276,0.43078,0.34189,0.43901,0.35879,0.38369,0.34955,0.38198,0.46803,0.39494
10,50,20,og,0.71508,0.70467,0.71856,0.70725,-0.52769,0.03851,0.20767,0.79259,0.53425,0.51417,0.57777,0.52536,0.12213,0.41152,0.23605,0.26809,0.21681,0.269,0.7445,0.23049
10,50,20,deid4,0.71342,0.69533,0.71231,0.69449,-0.55594,0.02458,0.13034,0.93099,0.47825,0.47817,0.52108,0.48163,0.0694,0.44946,0.29873,0.3175,0.27829,0.31785,0.83423,0.29327
